epoch,lr,train_loss,val_loss,acc,edit,f1s@0.1,f1s@0.25,f1s@0.5
0.0,0.0005,1669.3460998535156,2.34385347366333,16.12996808819263,9.782207456626065,6.779659189888456,5.084743935651332,5.084743935651332
1.0,0.0005,759.9390411376953,2.226122736930847,17.145343777197564,18.032484311554082,9.523806853112363,9.523806853112363,3.1746005039075125
2.0,0.0005,434.56900787353516,1.98488050699234,23.46968378299971,17.238833517903284,17.741933002081517,8.064513647243219,3.22580396982501
3.0,0.0005,318.4976272583008,1.7399497628211975,25.12329561937917,25.064599483204137,22.72726956382046,13.636360472911663,7.575754412306187
4.0,0.0005,225.2220973968506,1.679078996181488,24.107919930374237,34.053156146179404,22.784805710624155,17.72151457138389,7.594932292904345
5.0,0.0005,182.17645454406738,1.600749135017395,23.614737452857558,35.27131782945737,29.268288111244022,19.51219055026877,7.317068599051041
6.0,0.0005,156.20973205566406,1.601510226726532,23.266608645198723,35.215946843853814,28.378374313368006,16.216212151206282,8.10810404309919
7.0,0.0005,130.9267930984497,1.5667430758476257,27.93733681462141,36.00959763750461,35.61643437793251,23.28766725464508,10.958900131358172
8.0,0.0005,116.38243389129639,1.529282033443451,23.092544241369307,38.81506090808416,29.447848212579274,17.177909562273026,7.361958642029231
9.0,0.0005,103.70694923400879,1.5225948691368103,24.833188279663474,38.02141011443338,33.962259706499545,21.383643354298616,10.062888637318522
10.0,0.0005,91.83329772949219,1.4914599061012268,27.676240208877285,41.934293097083795,32.335324704364396,22.75448638101138,9.5808336864019
11.0,0.0005,86.28069877624512,1.4574702382087708,25.326370757180158,34.053156146179404,30.136982323138078,17.808215199850764,9.589037117659748
12.0,0.0005,77.14980554580688,1.5259007811546326,25.848563968668408,39.553340716131416,34.21052209487586,21.052627358034087,10.52631156856125
13.0,0.0005,77.98294115066528,1.4805263876914978,29.416884247171453,45.4780361757106,31.76470118754395,24.705877658132383,8.235289422840047
14.0,0.0005,68.43429851531982,1.5373958945274353,27.183057731360602,45.84717607973422,34.14633689173173,24.390239330756366,10.975605184415942
15.0,0.0005,65.31252384185791,1.4471054673194885,27.8503046127067,45.05352528608342,34.177210773915014,26.582274065054417,11.39240064733387
16.0,0.0005,59.96364068984985,1.5492966771125793,25.7615317667537,45.05352528608342,35.6687854225329,25.477702619985344,14.012734467119714
17.0,0.0005,55.0183310508728,1.4358673095703125,28.95271250362634,46.27168696936139,37.98882198558158,26.81563762803995,11.173179527482503
18.0,0.0005,50.860090255737305,1.4034117460250854,33.59442993907746,45.4780361757106,44.19889017429314,33.149166417387235,13.259663654957365
19.0,0.0005,47.986058712005615,1.4253342151641846,32.14389324049898,48.59726836471023,39.80099003985112,29.850741283632427,15.920393024926687
20.0,0.0005,44.61074447631836,1.4794907569885254,31.85378590078329,55.62938353636028,43.97905265206602,32.46072804473636,11.518319667774383
21.0,0.0005,49.24515342712402,1.5678887367248535,34.20365535248042,55.684754521963825,41.26983634388794,29.629624703676534,17.989413063465417
22.0,0.0005,48.74984169006348,1.641849160194397,30.75137800986365,54.83573274270948,39.99999510650169,34.59458970109638,14.054049160556856
23.0,0.0005,52.04301643371582,1.5453997254371643,33.623440673049025,52.87929125138427,42.77456172809034,32.36993745063386,18.497105080692187
24.0,0.0005,50.50772523880005,1.6567317247390747,35.94429939077459,54.52196382428941,44.22110054897661,35.17587441832348,18.090447282645744
25.0,0.0005,46.61414051055908,1.8285534381866455,27.41514360313316,61.18493909191584,35.97883105288273,27.513222587274477,11.640206714259806
26.0,0.0005,43.08284521102905,1.7524296641349792,28.575572961995938,54.891103728313034,31.18279079662466,26.881715527807575,16.129027355765164
27.0,0.0005,43.70998477935791,1.713801383972168,31.09950681752248,53.303802141011445,40.6593357951944,32.96702810288684,15.38461052047008
28.0,0.0005,40.601247787475586,1.7496345043182373,33.53640847113432,54.189466484268124,41.54588872272459,28.019318674415693,12.56038147634916
29.0,0.0005,42.79622483253479,1.6548428535461426,37.97505076878445,52.51015134736065,46.07329348976233,38.74345055782525,21.98952385625505
30.0,0.0005,40.58391356468201,1.8449819684028625,31.969828836669567,54.09745293466224,36.0824692698487,24.742263084281998,17.525768238921582
31.0,0.0005,50.96505069732666,1.7625586986541748,32.25993617638526,57.21668512366187,37.75509707413644,31.632648094544724,18.367341972096302
32.0,0.0005,41.17208504676819,1.6252982020378113,39.36756599941979,56.42303433001108,48.58756581697517,39.5480177943764,19.20903474352956
33.0,0.0005,44.143521308898926,1.7280858159065247,35.277052509428486,55.998523440383906,40.99999501800061,33.99999501800073,16.99999501800146
34.0,0.0005,38.13833832740784,1.9484670758247375,31.041485349579343,56.7921742340347,38.99999501800064,30.999995018000803,15.99999501800155
35.0,0.0005,32.30642056465149,1.7572722434997559,37.36582535538149,55.998523440383906,42.78074375246704,38.50266888615694,23.529406854071773
36.0,0.0005,36.446927070617676,2.021038830280304,32.201914708442125,54.14862914862914,38.61385639839296,30.693064319185208,15.84157917067111
37.0,0.0005,40.21520781517029,1.8261919021606445,37.10472874963737,61.49870801033592,43.298964115209415,36.0824692698487,17.525768238921582
38.0,0.0005,31.86740493774414,1.8659198880195618,34.81288076588338,58.379475821336285,41.02563606364294,34.871789909796895,18.46153349954111
39.0,0.0005,32.17747092247009,1.9913958311080933,30.606324340005802,60.39128829826504,39.58332838758742,31.249995054254253,14.583328387588482
40.0,0.0005,27.326505184173584,1.9864047765731812,32.288946910356835,51.68650793650794,38.38383340883648,29.29292431792759,16.161611186615144
41.0,0.0005,25.04334044456482,1.898531198501587,37.220771685523644,55.28499278499279,46.93877054352406,34.693872584340575,19.387750135361536
42.0,0.0005,23.059375524520874,1.8399707078933716,37.133739483608935,60.70505721668513,45.99999501800054,37.999995018000654,20.999995018001183
43.0,0.0005,23.755802631378174,1.9649579524993896,33.44937626921961,57.53045404208194,40.816321563932306,32.65305625781,17.34693380883108
44.0,0.0005,21.526355028152466,1.929057776927948,36.20539599651871,51.71650055370985,37.15846507091945,32.78688037146598,18.579230098242494
